Annee,Score,Metascore,Genre,Revenu,Votes
2006,6.4,48,2,250.86,275202
2012,7,50,1,80.07,275153
2010,7.6,80,2,171.24,273852
2008,7.9,81,7,26.24,273134
1997,7.5,64,6,39.67,272436
1954,8.7,98,2,0.27,272331
2005,7.6,62,6,24.15,271943
2012,6.6,51,1,85.02,271622
2010,6.4,65,1,118.31,271514
2005,6.6,58,5,179.5,271188
1990,7.5,57,1,119.39,270775
2015,4.1,46,7,166.17,269653
2004,8.2,80,3,4.71,269597
2006,7.1,59,1,64.04,269171
1998,7.1,69,5,176.48,269048
2005,7,50,1,75.98,268867
2013,7.3,54,2,58.24,268722
2001,7.1,65,2,78.62,268324
2006,7.5,69,7,34.3,267737
1994,7.6,59,7,105.26,267706
2008,6.1,35,1,80.17,266362
2012,6.3,45,1,139.85,266328
1984,8.4,NA,6,5.32,265566
2010,7.1,60,1,90.38,265556
1999,8,77,7,22.46,264570
2006,7.8,68,1,50.87,264486
2005,7.9,74,1,25.51,264263
1999,7.4,68,7,55.69,263637
2007,7.7,76,1,53.61,263354
2002,6.8,51,1,25.3,263207
2009,6.7,48,5,163.96,262662
1962,8.3,87,6,NA,262064
2012,6.7,61,1,113.2,261994
1959,8.3,98,2,13.28,261554
2008,7.6,36,7,69.95,261431
2010,6.9,53,1,94.84,261412
2001,5.9,42,1,181.17,261245
2017,7.4,87,2,63.86,260892
2013,5.8,30,5,112.2,260725
1968,8.5,80,17,5.32,260576
1999,7.3,70,5,38.18,260280
2014,7.8,76,3,177,260221
1993,8,82,3,75.08,259281
1995,6.9,39,2,100.48,258941
2009,7.7,53,4,255.96,257963
2014,6.3,68,5,150.16,257464
2006,6.1,72,1,200.08,256717
1974,8.2,92,7,29.2,256589
1939,8.2,97,7,198.68,255457
2000,7.8,69,2,45.51,255436
2009,7,70,4,97.1,255301
2014,6.2,48,1,106.58,255181
2007,7.2,58,11,25.59,253615
1996,7.2,65,11,103.05,253434
2012,6.1,57,1,155.33,253354
1986,6.9,50,1,179.8,253342
1997,7.8,64,7,12.34,252332
2015,7.6,81,7,72.31,251694
1997,6.9,70,5,181.41,251286
1996,7.3,48,1,25.75,251051
2010,5.8,39,1,163.21,250649
1997,6.8,52,1,101.12,250504
1997,7.8,76,4,41.91,249864
1990,7,51,5,178.41,249264
2013,7.8,55,5,15.32,248792
2010,6.6,50,1,90.76,248166
2016,7.2,76,7,71.9,247999
1997,7.7,67,5,148.48,247815
1992,6.7,NA,2,173.59,247800
2002,7.2,78,7,67.36,247555
1987,7.9,79,6,76.27,247430
2017,7.5,75,1,92.03,247315
2012,7.2,66,5,65,247277
1994,6.9,37,5,72.22,246934
1992,6.4,59,1,55.47,246827
2001,7.6,66,7,57.39,246739
2011,5.5,39,1,116.6,246702
1997,7.2,51,1,54.81,245716
1992,7,68,1,162.83,245143
2009,6.7,48,13,133.38,245124
2009,7.4,34,6,73.34,244472
2005,7.2,63,1,47.4,244321
2007,6.1,58,3,320.71,244289
2010,6.8,52,11,54.01,244092
2011,6.8,75,5,169.11,243663
2012,7.4,95,7,95.72,243453
2012,6.4,58,5,59.65,243244
2009,4.7,44,2,296.62,242143
2008,7.2,67,5,63.17,242016
1998,7.2,77,3,162.8,240414
2000,6.5,35,1,101.65,240278
2013,7.5,60,1,125.1,239153
2008,6.9,51,5,100.47,239007
2001,7.6,76,5,52.36,239003
1993,7.8,87,1,183.88,238621
1995,7.6,77,2,173.84,238000
2015,6.6,65,1,281.72,237736
1998,7.7,41,2,10.68,236720
2003,7.1,82,5,81.26,236549
2007,7,NA,1,NA,236539
2007,6.8,64,7,71.99,236461
2007,7,78,7,28.64,236366
2018,7.6,64,1,137.02,236289
2000,7.9,93,1,128.08,235548
1999,7.1,66,5,116.09,235221
2009,6.6,46,1,155.06,235043
2003,7,42,1,51.97,234231
2007,7.7,66,2,38.63,234103
2010,6.7,53,1,105.27,234091
2003,5.7,54,1,132.18,234049
2012,6.6,51,1,73.08,233583
2007,5.6,45,1,131.92,233468
2004,6.3,41,5,279.26,232974
2008,7,78,1,75.75,232825
1962,8.3,NA,2,44.82,232574
1967,8,77,5,104.95,232349
2015,7.3,56,1,45.45,231584
1977,8,92,5,39.2,231295
2000,7.2,63,1,113.33,231288
2013,6.6,41,1,28.8,231265
2016,7.4,77,2,364,231244
2002,7.1,56,6,46.57,231203
2001,6.8,57,6,165.09,231164
2002,6.8,65,6,96.4,231008
2010,6.8,47,1,77.22,230868
2017,8.4,81,3,209.73,230330
2011,6.9,56,1,63.69,230248
2000,7.9,90,2,32.53,229864
2013,6.5,41,1,98.93,229354
2012,7.1,60,1,13.41,229301
1997,7.4,62,7,100.92,229142
2001,6.9,45,9,100.61,228908
2012,8.3,77,7,0.69,228628
1995,8.1,77,7,5.54,228608
2014,7,56,1,92.17,228157
2015,6.5,38,1,89.76,226494
2007,7.7,72,6,20.3,226356
2013,7.1,84,1,4.56,226166
1988,8.2,86,3,NA,226126
2002,7.2,60,6,93.15,226058
