Annee,Score,Metascore,Genre,Revenu,Votes
2016,7.1,68,1,158.85,201356
1993,6.8,58,7,158.35,102195
2005,6.4,48,5,158.12,146656
2000,7.4,64,1,157.3,518794
2000,6.2,48,5,157.02,209402
1987,6.9,67,7,156.65,64733
1988,7.7,83,3,156.45,163193
2000,6.6,51,7,155.46,107917
2016,7,52,1,155.44,333399
2012,6.1,57,1,155.33,253354
1999,7,48,1,155.25,356961
2015,6.1,43,1,155.19,183062
2009,6.6,46,1,155.06,235043
2006,6.7,67,3,155.02,143215
2005,5.7,40,1,154.7,290872
2018,8.3,88,7,154.53,80819
2008,6.8,71,3,154.53,118361
1996,7.3,77,5,153.95,216109
2016,6.5,56,3,153.71,59724
1987,6.5,48,1,153.67,95697
2015,8.1,90,1,153.64,741818
2002,5,35,2,153.29,83840
2017,6.8,59,3,152.9,51739
2008,5.6,53,5,152.65,107786
2009,5.8,32,1,152.27,188447
1999,5.5,39,5,152.26,84161
2016,8.1,93,5,151.1,400334
2014,6.7,48,1,150.95,389070
1985,6.4,47,1,150.42,133495
2013,7,44,5,150.39,360972
2003,6.3,66,1,150.37,340956
2015,6.1,42,5,150.36,91107
2014,6.3,68,5,150.16,257464
2013,7.3,90,6,150.12,406514
2011,6.6,65,3,149.26,129272
2012,7.6,63,7,148.81,277301
2007,7,85,5,148.73,324908
1997,7.7,67,5,148.48,247815
2010,7.3,63,3,148.42,200354
2010,5.5,27,5,148.38,96479
2012,7.1,47,3,148.31,196799
2006,6.6,66,5,148.21,148486
1984,7.2,70,5,148.17,169452
2008,8.1,72,7,148.1,650579
1989,7.2,70,1,147.25,144912
2017,7.5,82,1,146.88,187206
2011,7.7,65,1,146.41,589880
1994,7.2,63,1,146.28,213723
2002,7.2,73,3,145.79,143137
2001,6.4,43,5,145.1,220155
2008,7.8,50,1,145,528015
2013,7.3,55,7,144.84,418727
1994,6.4,57,5,144.83,79006
2004,7.1,59,1,144.8,448795
1992,6.7,40,1,144.73,142443
2001,6.8,58,1,144.53,310889
1998,5.4,46,5,144.16,84227
2008,6.4,51,5,144.13,181598
2011,6.9,63,3,143.62,186155
2016,7.1,66,3,143.53,108086
2007,7.5,81,5,143.5,456317
2008,7.1,53,5,143.15,132246
2018,5.9,46,1,143.01,59707
2011,5.5,30,3,142.61,75476
2002,5.9,48,1,142.11,162228
1967,7.6,65,3,141.84,144783
2008,6.5,62,1,141.62,172259
1995,6.7,58,3,141.6,144947
1992,7.7,62,7,141.34,208153
2008,8,86,7,141.32,725665
1998,7,60,1,141.15,213149
